,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Bakurianis Andeziti,GE,41.7337,43.4724,39.04,73,99,5.97,overcast clouds
156,Todos Santos,MX,23.45,-110.2167,72.19,78,100,2.73,overcast clouds
157,Lazaro Cardenas,MX,17.9583,-102.2,74.03,84,3,4.99,clear sky
158,Dahuk,IQ,36.8695,42.994,53.94,52,98,1.83,overcast clouds
159,Siocon,PH,7.7061,122.1353,84.83,73,100,3.94,overcast clouds
160,Oranjemund,NA,-28.55,16.4333,62.62,79,95,3.38,overcast clouds
161,Glencoe,ZA,-28.1783,30.147,62.65,70,100,5.91,overcast clouds
162,Kloulklubed,PW,7.0419,134.2556,84.7,75,100,14.18,light rain
163,Okhotsk,RU,59.3833,143.3,3.51,71,4,17.92,clear sky
164,Port Blair,IN,11.6667,92.75,84.22,68,24,14.36,few clouds
165,Puerto Escondido,MX,15.85,-97.0667,77.18,62,61,4.5,broken clouds
166,Anadyr,RU,64.75,177.4833,-5.3,77,90,2.24,light snow
167,Bongouanou,CI,6.6486,-4.1992,70.97,99,63,1.88,broken clouds
168,Constitucion,CL,-35.3333,-72.4167,51.46,82,0,8.81,clear sky
169,Arraial Do Cabo,BR,-22.9661,-42.0278,72.82,87,24,2.68,few clouds
170,Cidreira,BR,-30.1811,-50.2056,69.44,95,93,2.91,overcast clouds
171,Nome,US,64.5011,-165.4064,-18.33,76,1,0.0,clear sky
172,Te Anau,NZ,-45.4167,167.7167,67.06,38,0,1.83,clear sky
173,Codrington,AU,-38.2667,141.9667,64.0,62,0,14.56,clear sky
174,Castro,BR,-24.7911,-50.0119,59.99,84,0,2.44,clear sky
175,Kattivakkam,IN,13.2167,80.3167,84.29,79,100,6.08,overcast clouds
176,Labuhan,ID,-6.8844,112.2051,81.0,72,100,6.17,overcast clouds
177,San Ramon,US,37.7799,-121.978,57.29,65,1,4.61,clear sky
178,Dikson,RU,73.5069,80.5464,-13.85,97,100,9.48,overcast clouds
179,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,27.63,few clouds
180,General Roca,AR,-39.0333,-67.5833,63.0,63,34,2.28,scattered clouds
181,Okha,RU,53.5739,142.9478,27.95,70,84,13.06,broken clouds
182,Carballo,ES,43.213,-8.691,40.42,84,78,6.2,broken clouds
183,Bastrop,US,32.7562,-91.8724,49.68,63,100,4.63,overcast clouds
184,Saint-Philippe,RE,-21.3585,55.7679,81.95,81,93,3.42,light rain
185,Lata,PT,40.1629,-8.3327,36.01,88,6,3.42,clear sky
186,Karratha,AU,-20.7377,116.8463,95.5,27,0,19.19,clear sky
187,Madanapalle,IN,13.55,78.5,69.33,95,100,6.17,light rain
188,Port Elizabeth,ZA,-33.918,25.5701,71.89,56,0,6.91,clear sky
189,Kaitangata,NZ,-46.2817,169.8464,58.33,68,0,5.12,clear sky
190,Bereda,ES,43.2686,-7.5406,35.35,94,95,2.62,overcast clouds
191,Zheleznodorozhnyy,RU,55.7503,38.0042,41.52,85,100,10.2,overcast clouds
192,Hithadhoo,MV,-0.6,73.0833,82.02,72,100,17.92,overcast clouds
193,Lompoc,US,34.6391,-120.4579,53.91,69,1,5.75,clear sky
194,Chokurdakh,RU,70.6333,147.9167,-32.04,99,100,1.1,overcast clouds
195,Ostersund,SE,63.1792,14.6357,12.65,100,90,3.44,overcast clouds
196,Mersing,MY,2.4312,103.8405,91.31,62,20,4.61,few clouds
197,Alekseyevsk,RU,57.8406,108.3492,13.86,92,100,11.52,light snow
198,Burns Lake,CA,54.2331,-125.7533,27.82,97,93,2.71,overcast clouds
199,Anse-Bertrand,GP,16.4721,-61.5078,76.82,80,89,10.83,overcast clouds
200,Adrar,MR,20.5022,-10.0711,60.04,42,77,14.54,broken clouds
201,Saint-Leu,RE,-21.15,55.2833,81.43,80,93,2.98,light rain
202,Coquimbo,CL,-29.9533,-71.3436,56.93,88,0,2.3,clear sky
203,Portland,US,45.5234,-122.6762,64.38,79,90,12.66,overcast clouds
204,Sar-E Pul,AF,35.8333,66.1667,46.89,40,37,1.23,scattered clouds
205,Aklavik,CA,68.2191,-135.0107,-13.97,83,95,16.67,overcast clouds
206,Basco,PH,20.4487,121.9702,77.45,85,100,29.04,overcast clouds
207,Asau,RO,46.4333,26.4,32.92,80,48,4.32,scattered clouds
208,Osmena,PH,10.5208,119.9258,82.98,79,99,12.62,light rain
209,Faanui,PF,-16.4833,-151.75,81.05,75,37,11.81,scattered clouds
210,Fort Frances,CA,48.5999,-93.4003,28.62,69,90,10.36,overcast clouds
211,Bilma,NE,18.6853,12.9164,71.28,19,79,7.16,broken clouds
212,Kimbe,PG,-5.5502,150.1429,84.43,72,63,3.67,light rain
213,Mackenzie,CA,55.2999,-123.1698,34.02,93,90,6.91,overcast clouds
214,Beringovskiy,RU,63.05,179.3167,1.63,98,96,6.02,overcast clouds
215,Tabuk,PH,17.4189,121.4443,80.51,77,86,8.41,overcast clouds
216,Kinablangan,PH,7.6947,126.5503,82.89,77,85,5.61,overcast clouds
217,Taihe,CN,30.8712,105.3845,58.91,61,99,1.16,overcast clouds
218,Isangel,VU,-19.55,169.2667,82.51,78,75,9.22,broken clouds
219,Havelock,US,34.8791,-76.9013,39.18,51,56,5.17,broken clouds
220,Chernyanka,RU,50.9409,37.8069,43.02,96,100,6.6,overcast clouds
221,Pozo Colorado,PY,-23.4923,-58.7972,75.81,52,14,5.12,few clouds
222,Angoche,MZ,-16.2325,39.9086,78.84,55,98,12.26,overcast clouds
223,Calamar,CO,10.2511,-74.9146,78.75,95,91,3.15,overcast clouds
224,Westport,US,41.1415,-73.3579,35.74,59,1,4.61,clear sky
225,Changji,CN,44.0167,87.3167,32.79,40,0,4.47,clear sky
226,Orcopampa,PE,-15.2661,-72.3417,44.13,74,93,0.76,overcast clouds
227,Novopokrovskaya,RU,45.9514,40.7006,48.16,88,100,6.24,overcast clouds
228,Airai,TL,-8.9266,125.4092,70.23,74,97,1.95,overcast clouds
229,Gornopravdinsk,RU,60.05,69.9,22.39,96,91,8.1,overcast clouds
230,Bam,IR,29.106,58.357,65.59,27,0,3.15,clear sky
231,Fairlie,GB,55.756,-4.8556,35.51,73,100,6.49,light snow
232,Talnakh,RU,69.4865,88.3972,-3.42,98,100,6.08,overcast clouds
233,Saldanha,ZA,-33.0117,17.9442,62.65,91,90,11.32,overcast clouds
234,Najran,SA,17.4924,44.1277,65.05,33,1,5.28,clear sky
235,Avanigadda,IN,16.0215,80.9181,80.74,79,100,11.36,moderate rain
236,Coihaique,CL,-45.5752,-72.0662,48.15,66,75,4.61,broken clouds
237,Kirakira,SB,-10.4544,161.9205,83.5,73,69,4.9,broken clouds
238,Severo-Kurilsk,RU,50.6789,156.125,30.49,70,90,27.72,overcast clouds
239,Homer,US,59.6425,-151.5483,15.67,67,90,5.75,overcast clouds
240,Gravdal,NO,68.1214,13.5031,32.79,76,97,14.38,light snow
241,Bud,US,39.447,-86.1758,42.89,88,26,9.19,scattered clouds
242,Alcaniz,ES,41.05,-0.1333,39.81,74,26,30.15,scattered clouds
243,College,US,64.8569,-147.8028,-13.34,69,75,0.0,light snow
244,Ponta Do Sol,PT,32.6667,-17.1,65.03,74,48,6.49,scattered clouds
245,Misawa,JP,40.6836,141.3597,44.67,56,39,13.24,scattered clouds
246,Juneau,US,58.3019,-134.4197,32.05,86,90,3.44,snow
247,Grindavik,IS,63.8424,-22.4338,36.07,100,90,9.22,light intensity drizzle
248,Luau,AO,-10.7073,22.2247,67.42,90,84,3.91,broken clouds
249,Kousseri,CM,12.0769,15.0306,62.56,27,60,6.91,broken clouds
250,Lagoa,PT,39.05,-27.9833,61.16,60,97,6.82,overcast clouds
251,Bosaso,SO,11.2842,49.1816,80.58,78,40,10.36,scattered clouds
252,Guaratinga,BR,-16.5667,-39.5667,70.47,97,100,5.12,light rain
253,Skjervoy,NO,70.0311,20.9714,20.12,78,21,19.44,few clouds
254,Bairiki,KI,1.3292,172.9752,86.0,66,20,12.66,few clouds
255,Berlevag,NO,70.8578,29.0864,10.35,67,0,9.22,clear sky
256,Natal,BR,-5.795,-35.2094,79.45,89,40,3.44,scattered clouds
257,Yulara,AU,-25.2406,130.9889,85.84,14,0,11.5,clear sky
258,Singaraja,ID,-8.112,115.0882,80.69,83,100,2.04,light rain
259,Geraldton,AU,-28.7667,114.6,88.21,30,0,12.66,clear sky
260,Burkburnett,US,34.0979,-98.5706,50.72,100,1,9.22,clear sky
261,Coruripe,BR,-10.1256,-36.1756,77.45,79,89,11.34,light rain
262,Margate,GB,51.3813,1.3862,37.11,90,100,29.75,overcast clouds
263,Ulaangom,MN,49.9811,92.0667,17.49,69,89,1.63,overcast clouds
264,Prudentopolis,BR,-25.2131,-50.9778,60.22,95,0,2.39,clear sky
265,Odweyne,SO,9.4092,45.064,79.25,27,36,15.77,scattered clouds
266,Srednekolymsk,RU,67.45,153.6833,-38.81,99,47,5.46,scattered clouds
267,Marzuq,YE,14.4,46.4667,71.92,28,0,6.15,clear sky
268,Port Moresby,PG,-9.4431,147.1797,89.02,70,40,17.27,scattered clouds
269,Vaitape,PF,-16.5167,-151.75,80.98,75,38,11.77,scattered clouds
270,Windsor Locks,US,41.9293,-72.6273,30.65,59,75,6.91,broken clouds
271,Vao,NC,-22.6667,167.4833,75.29,87,93,17.45,moderate rain
272,Velvary,CZ,50.2815,14.2362,33.1,83,96,1.86,overcast clouds
273,Mareeba,AU,-17.0,145.4333,81.32,55,62,8.28,broken clouds
274,Mocuba,MZ,-16.8392,36.9856,74.05,63,28,3.33,scattered clouds
275,Port Macquarie,AU,-31.4333,152.9167,66.16,73,100,10.63,overcast clouds
276,Chokwe,MZ,-24.5333,32.9833,75.02,49,5,7.99,clear sky
277,Damietta,EG,31.4165,31.8133,69.84,46,21,7.16,few clouds
278,Ubinskoye,RU,55.3068,79.6802,22.15,94,100,13.94,overcast clouds
279,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,70,64,6.49,broken clouds
280,Bose,IT,45.4612,8.0137,35.19,67,96,3.27,overcast clouds
281,Iqaluit,CA,63.7506,-68.5145,24.53,58,90,12.66,light snow
